timestamp,resort,location,departure_date,duration_nights,party_size,adults,children,room_type,price_total,price_pp,was_price_total,was_price_pp,promo_code,currency
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2026-12-06,7,2A,2,0,Double room (ensuite bath),1658,829,1758,879,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2026-12-13,7,2A,2,0,Double room (ensuite bath),2498,1249,2598,1299,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2026-12-20,7,2A,2,0,"Twin (ensuite bath, no balcony)",3098,1549,3198,1599,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2026-12-27,7,2A,2,0,Twin room,4698,2349,4798,2399,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-03,7,2A,2,0,Twin room,2658,1329,2758,1379,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-10,7,2A,2,0,Twin room,2598,1299,2698,1349,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-17,7,2A,2,0,"Twin (ensuite bath, no balcony)",2658,1329,2758,1379,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-24,7,2A,2,0,Double room (ensuite bath),2658,1329,2758,1379,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-31,7,2A,2,0,Twin room,2658,1329,2758,1379,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-02-07,7,2A,2,0,Twin room,2898,1449,2998,1499,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-02-14,7,2A,2,0,"Twin (ensuite bath, no balcony)",4898,2449,4998,2499,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-02-21,7,2A,2,0,Double room (ensuite bath),2898,1449,2998,1499,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-02-28,7,2A,2,0,Twin room,2898,1449,2998,1499,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-03-07,7,2A,2,0,Twin room,2898,1449,2998,1499,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-03-21,7,2A,2,0,Twin room,2798,1399,2898,1449,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-03-28,7,2A,2,0,Twin room,3498,1749,3598,1799,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-04-04,7,2A,2,0,Double room (ensuite bath),3298,1649,3398,1699,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-04-11,7,2A,2,0,Twin room,2798,1399,2898,1449,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2026-12-06,7,2A1C,2,1,Family twin room,2182,727,2332,777,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2026-12-13,7,2A1C,2,1,Twin (with extra bed and ensuite bath),3257,1085,3407,1135,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2026-12-20,7,2A1C,2,1,Twin (with extra bed and ensuite bath),4557,1519,4707,1569,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2026-12-27,7,2A1C,2,1,Twin (with extra bed and ensuite bath),6857,2285,7007,2335,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-03,7,2A1C,2,1,Twin (with extra bed and ensuite bath),3417,1139,3567,1189,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-10,7,2A1C,2,1,Twin (with extra bed and ensuite bath),3337,1112,3487,1162,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-17,7,2A1C,2,1,Twin (with extra bed and ensuite bath),3417,1139,3567,1189,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-24,7,2A1C,2,1,Twin (with extra bed and ensuite bath),3417,1139,3567,1189,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-01-31,7,2A1C,2,1,Twin (with extra bed and ensuite bath),3417,1139,3567,1189,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-02-07,7,2A1C,2,1,Family twin room,3772,1257,3922,1307,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-02-14,7,2A1C,2,1,Family double room,7247,2415,7397,2465,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-02-21,7,2A1C,2,1,Family double room,3782,1260,3932,1310,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-02-28,7,2A1C,2,1,Family twin room,3872,1290,4022,1340,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-03-07,7,2A1C,2,1,Twin (with extra bed and ensuite bath),3857,1285,4007,1335,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-03-21,7,2A1C,2,1,Twin (with extra bed and ensuite bath),3757,1252,3907,1302,FIRSTTRACKS,GBP
2026-05-04T16:52:22Z,Chalet Hotel L'Écrin,"Tignes, France",2027-03-28,7,2A1C,2,1,Twin (with extra bed and ensuite bath),5157,1719,5307,1769,FIRSTTRACKS,GBP
